Time (s);Transverse position (mm);Longitudinal position (mm);Transverse velocity (mm/s);Longitudinal velocity (mm/s)
0,00;0,00;0,00;;
0,03;−0,00;−0,29;−0,09;−8,88
0,07;−0,00;0,34;−0,03;18,62
0,10;0,00;1,82;0,15;44,76
0,13;−0,01;1,20;−0,18;−18,85
0,17;−0,01;0,86;−0,09;−10,00
0,20;−0,01;1,44;0,00;17,58
0,23;−0,02;2,85;−0,36;42,76
0,27;−0,03;2,25;−0,29;−17,68
0,30;−0,02;2,07;0,18;−5,39
0,33;−0,04;2,57;−0,33;15,30
0,37;−0,02;3,73;0,50;33,91
0,40;−0,03;3,26;−0,33;−14,03
0,43;−0,05;3,05;−0,52;−6,39
0,47;−0,03;3,39;0,41;9,82
0,50;0,01;4,82;1,33;43,36
0,53;−0,04;4,23;−1,64;−17,70
0,57;−0,04;3,97;0,09;−7,68
0,60;−0,04;4,55;0,06;17,45
0,63;−0,01;5,74;0,73;36,00
0,67;0,01;5,21;0,62;−15,38
0,70;−0,02;4,96;−0,79;−7,76
0,73;0,00;5,50;0,61;16,61
0,77;0,01;6,92;0,18;41,59
0,80;−0,00;6,42;−0,27;−15,12
0,83;0,01;6,09;0,27;−10,09
0,87;0,01;6,59;0,06;14,69
0,90;0,05;8,00;1,12;42,84
0,93;0,01;7,42;−1,24;−17,64
0,97;0,01;7,19;0,03;−6,71
1,00;0,01;7,77;0,21;17,55
1,03;0,02;8,98;0,21;36,76
1,07;0,05;8,46;0,79;−15,24
1,10;0,05;8,15;0,12;−9,55
1,13;0,06;8,71;0,09;17,09
1,17;0,00;10,06;−1,53;39,74
1,20;0,04;9,59;1,03;−14,39
1,23;0,06;9,33;0,64;−7,85
1,27;0,02;9,78;−1,03;13,32
1,30;0,03;11,13;0,09;40,88
1,33;0,02;10,62;−0,15;−15,64
1,37;0,02;10,33;−0,18;−8,32
1,40;0,02;10,95;0,24;18,79
1,43;0,01;12,18;−0,48;37,30
1,47;0,01;11,67;0,18;−15,18
1,50;0,01;11,40;−0,03;−8,21
1,53;0,00;11,89;−0,24;14,88
1,57;0,02;13,34;0,53;42,85
1,60;−0,00;12,70;−0,73;−19,42
1,63;0,00;12,57;0,09;−4,18
1,67;0,01;13,03;0,26;13,71
1,70;0,04;14,33;0,85;39,36
1,73;0,04;13,93;0,15;−12,00
1,77;0,03;13,59;−0,35;−10,00
1,80;0,05;14,18;0,58;17,88
1,83;0,05;15,47;0,03;39,09
1,87;0,04;14,85;−0,44;−18,44
1,90;0,05;14,65;0,36;−5,94
1,93;0,05;15,12;−0,09;14,06
1,97;0,07;16,57;0,68;42,74
2,00;0,07;15,97;0,06;−18,18
2,03;0,06;15,75;−0,30;−6,52
2,07;0,06;16,31;−0,09;16,38
2,10;0,06;17,56;0,00;37,97
2,13;0,05;17,14;−0,33;−12,73
2,17;0,05;16,84;0,06;−8,82
2,20;0,04;17,29;−0,33;13,64
2,23;0,08;18,74;1,30;43,94
2,27;0,05;18,07;−1,00;−19,71
2,30;0,04;17,85;−0,27;−6,67
2,33;0,05;18,39;0,48;16,36
2,37;0,08;19,70;0,65;38,53
2,40;0,08;19,23;0,12;−14,24
2,43;0,07;18,94;−0,18;−8,79
2,47;0,09;19,54;0,50;17,65
2,50;0,10;20,84;0,30;39,39
2,53;0,10;20,36;0,06;−14,55
2,57;0,09;20,06;−0,26;−8,82
2,60;0,10;20,52;0,21;13,94
2,63;0,12;22,05;0,45;46,36
2,67;0,11;21,37;−0,18;−20,00
2,70;0,10;21,11;−0,30;−7,88
2,73;0,09;21,78;−0,24;20,30
2,77;0,11;23,02;0,56;36,47
2,80;0,12;22,56;0,39;−13,94
2,83;0,10;22,25;−0,58;−9,39
2,87;0,12;22,76;0,38;15,00
