Longitudinal position (cm);Skate distance (mm);Classic distance (mm)
−100,00;;
−95,50;;255,00
−91,00;;255,00
−86,50;;255,00
−82,00;255,00;101,00
−77,50;255,00;94,00
−73,00;78,00;82,00
−68,50;77,00;79,00
−64,00;80,00;71,00
−59,50;76,00;71,00
−55,00;73,00;69,00
−50,50;72,00;67,00
−46,00;71,00;70,00
−41,50;67,00;63,00
−37,00;70,00;63,00
−32,50;64,00;68,00
−28,00;65,00;66,00
−23,50;66,00;65,00
−19,00;62,00;64,00
−14,50;62,00;63,00
−10,00;64,00;64,00
−5,50;66,00;62,00
−1,00;62,00;64,00
3,50;62,00;61,00
8,00;63,00;61,00
12,50;60,00;64,00
17,00;63,00;62,00
21,50;62,00;65,00
26,00;62,00;62,00
30,50;63,00;64,00
35,00;63,00;61,00
39,50;62,00;64,00
44,00;65,00;63,00
48,50;64,00;66,00
53,00;62,00;67,00
57,50;66,00;64,00
62,00;64,00;64,00
66,50;69,00;68,00
71,00;63,00;62,00
75,50;65,00;60,00
80,00;61,00;67,00
84,50;66,00;64,00
89,00;65,00;67,00
93,50;66,00;69,00
98,00;66,00;71,00
102,50;70,00;72,00
107,00;76,00;71,00
111,50;74,00;74,00
116,00;77,00;78,00
120,50;78,00;79,00
125,00;255,00;82,00
129,50;255,00;91,00
134,00;;94,00
138,50;;255,00
143,00;;255,00
147,50;;
152,00;;
156,50;;
161,00;;
165,50;;
170,00;;
